Round ,Team,Total Kicks,Handballs,Disposals,Marks,Hit-outs,Frees For,Frees Against,Goals,Behinds,Total Points,AFL Fantasy,Opponent,Win/Loss,
2,West Coast Eagles,183,104,287,56,43,16,16,6,10,46,1201,Gold Coast Suns,0,
2,Western Bulldogs,142,177,319,55,12,15,21,7,7,49,1153,St Kilda,0,
3,Adelaide Crows,145,105,250,56,39,26,16,4,5,29,1085,Gold Coast Suns,0,
3,Brisbane Lions,188,94,282,64,30,20,15,10,14,74,1249,West Coast Eagles,1,
3,Carlton,176,73,249,82,44,17,15,12,7,79,1209,Geelong Cats,1,
3,Collingwood,194,153,347,101,34,17,19,12,9,81,1486,St Kilda,1,
3,Fremantle,163,97,260,59,20,17,15,6,5,41,1088,Port Adelaide,0,
3,GWS Giants,180,90,270,103,27,16,26,4,9,33,1179,Western Bulldogs,0,
3,Geelong Cats,162,114,276,52,22,15,17,11,11,77,1150,Carlton,0,
3,Gold Coast Suns,196,124,320,87,27,16,26,12,10,82,1443,Adelaide Crows,1,
3,Hawthorn,189,129,318,76,25,19,23,11,5,71,1233,Richmond,0,
3,North Melbourne,143,129,272,45,35,23,14,8,12,60,1105,Sydney Swans,0,
3,Port Adelaide,179,95,274,59,44,15,17,10,10,70,1179,Fremantle,1,
3,Richmond,171,126,297,74,11,23,19,5,9,39,1109,Hawthorn,1,
3,St Kilda,185,120,305,95,29,19,17,5,7,37,1285,Collingwood,0,
3,Sydney Swans,155,109,264,57,23,14,23,10,11,71,1102,North Melbourne,1,
3,West Coast Eagles,159,87,246,47,41,15,20,6,8,44,1036,Brisbane Lions,0,
3,Western Bulldogs,177,126,303,77,17,26,16,8,9,57,1284,GWS Giants,1,
4,Adelaide Crows,162,70,232,71,24,17,20,7,4,46,1083,Brisbane Lions,0,
4,Brisbane Lions,199,86,285,80,29,20,17,10,23,83,1361,Adelaide Crows,1,
4,Carlton,211,121,332,88,25,13,13,7,10,52,1376,Essendon,1,
4,Collingwood,177,112,289,72,55,25,16,9,10,64,1329,GWS Giants,0,
4,Essendon,164,103,267,57,32,13,13,8,3,51,1151,Carlton,0,
4,Fremantle,163,103,266,81,18,20,14,8,3,51,1189,Gold Coast Suns,0,
4,GWS Giants,163,128,291,64,21,16,25,10,6,66,1167,Collingwood,1,
4,Geelong Cats,209,106,315,112,28,16,19,7,5,47,1416,Melbourne,1,
4,Gold Coast Suns,180,106,286,82,42,14,20,10,4,64,1245,Fremantle,1,
4,Hawthorn,152,112,264,43,29,12,21,8,10,58,1120,North Melbourne,1,
4,Melbourne,152,116,268,52,33,19,16,6,8,44,1079,Geelong Cats,0,
4,North Melbourne,181,148,329,65,33,21,12,8,6,54,1293,Hawthorn,0,
4,Port Adelaide,199,107,306,90,17,15,10,13,11,89,1371,West Coast Eagles,1,
4,Richmond,149,164,313,62,26,15,15,10,7,67,1228,St Kilda,0,
4,St Kilda,183,132,315,82,31,15,15,15,3,93,1361,Richmond,1,
4,Sydney Swans,167,109,276,73,45,13,16,5,9,39,1230,Western Bulldogs,0,
4,West Coast Eagles,175,103,278,71,36,10,15,6,5,41,1128,Port Adelaide,0,
4,Western Bulldogs,165,130,295,60,18,16,13,10,7,67,1184,Sydney Swans,1,
5,Adelaide Crows,170,133,303,79,18,13,17,4,10,34,1180,Fremantle,0,
5,Brisbane Lions,171,103,274,71,43,15,12,12,13,85,1268,Port Adelaide,1,
5,Carlton,172,95,267,84,26,18,19,8,7,55,1143,St Kilda,0,
5,Collingwood,163,155,318,59,41,21,12,7,6,48,1250,Essendon,0,
5,Essendon,173,99,272,67,13,12,21,10,3,63,1202,Collingwood,1,
